dataset,model,best_params,train_time_s,infer_time_per_sample,Accuracy,AUC,error,RMSE
diabetes,xRFM,"{'n_iterations': np.int64(5), 'leaf_size': np.int64(100)}",12.6769,3.5e-05,0.8916666666666667,0.5831947030829713,,
diabetes,XGBoost,"{'n_estimators': np.int64(200), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.05), 'subsample': np.float64(0.8), 'colsample_bytree': np.float64(0.8)}",0.9922,4e-06,0.8946666666666667,0.6628760604179598,,
diabetes,RandomForest,"{'n_estimators': np.int64(300), 'max_depth': 20, 'max_features': np.str_('sqrt')}",8.8939,0.000184,0.8946666666666667,0.6257669001803081,,
housing,xRFM,,,,,,[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 7926810640 bytes.,
housing,XGBoost,"{'n_estimators': np.int64(300), 'max_depth': np.int64(5), 'learning_rate': np.float64(0.2), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.8)}",1.489,1.1e-05,,,,24426.53515625
housing,RandomForest,"{'n_estimators': np.int64(100), 'max_depth': None, 'max_features': np.str_('sqrt')}",1.3911,0.000133,,,,30703.305346717036
wine,xRFM,"{'n_iterations': np.int64(5), 'leaf_size': np.int64(100)}",0.1351,1.2e-05,,,,0.6415615550586325
wine,XGBoost,"{'n_estimators': np.int64(100), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.1), 'subsample': np.float64(0.8), 'colsample_bytree': np.float64(0.7)}",0.3767,1.8e-05,,,,0.5731914203905047
wine,RandomForest,"{'n_estimators': np.int64(300), 'max_depth': 20, 'max_features': np.str_('sqrt')}",1.8161,0.000642,,,,0.5516094719215399
steel,xRFM,"{'n_iterations': np.int64(5), 'leaf_size': np.int64(100)}",0.6079,1.3e-05,0.781491002570694,0.9294826475850541,,
steel,XGBoost,"{'n_estimators': np.int64(300), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.1), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.7)}",2.4693,3e-05,0.7866323907455013,0.9541578899824764,,
steel,RandomForest,"{'n_estimators': np.int64(300), 'max_depth': 10, 'max_features': np.str_('sqrt')}",2.8006,0.000395,0.7737789203084833,0.9496566963401541,,
shoppers,xRFM,"{'n_iterations': np.int64(5), 'leaf_size': np.int64(100)}",11.6751,3.3e-05,0.8759124087591241,0.8813794614050354,,
shoppers,XGBoost,"{'n_estimators': np.int64(200), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.05), 'subsample': np.float64(0.8), 'colsample_bytree': np.float64(0.8)}",0.6573,3e-06,0.8965936739659367,0.9290934815683071,,
shoppers,RandomForest,"{'n_estimators': np.int64(100), 'max_depth': 10, 'max_features': np.str_('sqrt')}",1.8543,3.3e-05,0.894566098945661,0.9183890694466645,,
